dialect	durnorm_Lobanov	syl_sd	f0norm_Lobanov	f0median	f0peak	f0min	f0sd	f0skewness	f0SAQ	f0rate	f0peak_rate	f0min_rate	f0cv	df0mean	df0mean_pos	df0mean_neg	df0sd	df0sd_pos	df0sd_neg	df0skewness	spect_emphasis	sl_LTAS_breath	sl_LTAS_alpha	sl_LTAS_L1L0	cvint	jitter	shimmer	hnr	pause_sd	pause_meandur	pause_rate	speech_rate	artic_rate
SP	-0.30	1192.22	0.63	95.30	97.67	92.23	1.67	0.08	1.24	2.50	1.32	1.17	0.02	0.0009	5.28	-0.80	2.97	2.86	2.01	0.40	1.33	-40.3	-22.6	4.9	17.42	3.12	9.11	13.92	1624.72	1008.24	0.42	2.25	3.49
SP	-0.47	2275.95	4.64	90.49	93.52	89.53	1.00	0.19	0.29	9.43	4.72	4.72	0.01	-1.60	1.42	-3.47	5.25	1.37	5.91	-1.91	7.92	-34.4	-6.8	-1.2	16.43	2.38	12.31	5.67	1318.09	764.38	0.47	0.90	3.70
SP	0.13	109.30	0.38	94.94	100.30	93.03	1.80	0.39	1.04	4.62	2.37	2.25	0.02	-0.25	5.73	-1.94	5.07	4.28	3.85	-0.20	1.93	-27.3	-20.0	3.4	18.47	2.72	9.24	13.90	1361.23	786.67	0.53	6.40	4.26
SP	0.08	943.19	0.89	94.16	96.71	89.05	2.24	-0.09	2.11	6.92	3.46	3.46	0.02	-0.19	6.00	-4.16	6.47	2.92	4.75	-0.44	3.35	-27.1	-17.5	2.9	16.48	2.18	8.81	12.41	1009.52	564.62	0.55	3.03	3.75
SP	-1.02	195.45	2.04	93.89	95.75	92.08	1.03	-0.04	0.82	5.54	2.77	2.77	0.01	-0.43	2.03	-3.16	3.79	1.61	3.65	-1.14	3.34	-33.4	-17.4	3.3	16.27	2.56	10.13	12.89	1151.62	638.00	0.62	3.23	4.10
SP	-0.30	188.59	0.75	93.98	99.59	90.83	2.18	0.10	1.20	7.23	3.61	3.61	0.02	0.17	7.36	-4.58	7.23	3.11	4.82	-0.27	3.17	-22.9	-17.5	2.2	16.51	2.94	9.56	11.27	1386.14	767.14	0.52	4.41	4.34
SP	-0.06	169.35	0.48	94.51	97.85	91.77	2.12	0.11	2.02	3.01	1.51	1.51	0.02	-0.57	2.75	-0.96	2.58	2.22	2.33	-1.31	3.33	-32.5	-20.6	0.6	16.66	3.24	9.99	10.40	2127.82	1443.33	0.33	5.88	4.68
SP	-0.21	804.32	0.58	94.46	98.10	90.10	2.12	0.05	1.75	7.69	3.84	3.84	0.02	-0.70	6.44	-4.03	6.68	4.05	4.76	-0.10	3.97	-33.0	-13.0	3.3	18.17	2.00	9.98	11.32	49.50	215.00	0.28	3.44	3.54
SP	-0.21	0	0.84	95.82	106.88	92.74	4.91	0.46	5.07	1.08	0.54	0.54	0.05	1.85	12.13	-2.22	7.16	0.47	3.52	0.11	0.15	-29.8	-24.1	11.9	9.79	3.95	15.59	13.27	1411.42	859.74	0.41	10.00	3.85
SP	-0.10	750.24	0.39	95.11	104.17	91.04	3.83	0.25	3.14	5.96	3.07	2.89	0.04	-0.35	9.62	-5.82	11.76	7.63	9.90	-0.79	3.81	-26.4	-17.2	0.1	18.30	2.48	10.85	12.45	1387.33	825.32	0.41	3.07	3.84
