AUDIOFILE	DIALECT	SPEAKER	SEX	CHUNK	f0sd	f0SAQ	df0mean_pos	df0sd_pos	sl_LTAS_alpha	cvint	pause_sd	pause_meandur	pause_rate
PBAMAS005.wav	PB	pb10	MAS	CH9	1.46	1.04	1.30	1.10	-17.0	46.15	571.83	686.67	0.30
PBAMAS005.wav	PB	pb10	MAS	CH10	1.32	0.93	1.53	1.38	-21.1	33.58	510.83	625.38	0.29
PBAMAS005.wav	PB	pb10	MAS	CH11	1.00	0.51	2.17	1.50	-20.9	40.64	550.60	691.00	0.30
PBAMAS005.wav	PB	pb10	MAS	CH12	1.53	0.67	0.82	0.67	-20.4	29.31	581.29	707.78	0.29
PBAMAS005.wav	PB	pb10	MAS	CH13	1.93	1.19	2.32	3.39	-17.4	41.50	545.52	953.33	0.24
PBAMAS005.wav	PB	pb10	MAS	CH14	1.69	1.30	1.58	1.07	-19.3	42.87	553.76	860.00	0.26
PBAMAS005.wav	PB	pb10	MAS	CH15	0.001	0.0004	0.02	0.03	-37.8	-31.56	495.68	980.00	0.22
PBAMAS005.wav	PB	pb10	MAS	CH16	1.49	0.80	2.12	1.88	-18.0	42.59	63.64	1265.00	0.15
PBAMAS005.wav	PB	pb10	MAS	CH17	1.67	1.20	1.57	1.31	-22.9	47.64	1310.00	1310.00	0.13
PBAMAS005.wav	PB	pb10	MAS	CH18	2.08	0.79	2.14	3.71	-22.0	11.53	0	0	0
PBAMAS005.wav	PB	pb10	MAS	CH19	1.86	1.54	2.66	2.71	-18.3	27.83	326.68	407.27	0.37
PBAMAS005.wav	PB	pb10	MAS	CH20	2.20	1.58	3.66	2.49	-17.3	28.11	356.30	404.44	0.34
PBAMAS005.wav	PB	pb10	MAS	CH21	0.65	0.52	0.99	0.60	-15.4	34.46	454.55	442.00	0.29
PBAMAS005.wav	PB	pb10	MAS	CH22	2.12	1.80	3.22	2.91	-17.1	19.15	230.65	240.00	0.22
PBAMAS005.wav	PB	pb10	MAS	CH23	1.09	0.70	1.98	1.45	-15.5	17.04	0	0	0
SPAFEM001.wav	SP	sp01	FEM	CH1	2.69	2.04	4.73	4.13	-17.9	17.95	1604.59	971.11	0.47
SPAFEM001.wav	SP	sp01	FEM	CH2	2.23	1.55	4.97	4.74	-17.5	17.83	1620.24	958.26	0.46
SPAFEM001.wav	SP	sp01	FEM	CH3	1.67	1.24	5.28	2.86	-22.6	17.42	1592.31	955.00	0.45
SPAFEM001.wav	SP	sp01	FEM	CH4	1.00	0.29	1.42	1.37	-6.8	16.43	1287.94	722.35	0.50
SPAFEM001.wav	SP	sp01	FEM	CH5	1.80	1.04	5.73	4.28	-20.0	18.47	1327.90	740.63	0.56
SPAFEM001.wav	SP	sp01	FEM	CH6	2.24	2.11	6.00	2.92	-17.5	16.48	1009.52	564.62	0.55
SPAFEM001.wav	SP	sp01	FEM	CH7	1.03	0.82	2.03	1.61	-17.4	16.27	1151.62	638.00	0.62
SPAFEM001.wav	SP	sp01	FEM	CH8	2.18	1.20	7.36	3.11	-17.5	16.51	1386.14	767.14	0.52
SPAFEM001.wav	SP	sp01	FEM	CH9	2.12	2.02	2.75	2.22	-20.6	16.66	2127.82	1443.33	0.33
SPAFEM001.wav	SP	sp01	FEM	CH10	2.12	1.75	6.44	4.05	-13.0	18.17	49.50	215.00	0.28
SPAFEM001.wav	SP	sp01	FEM	CH11	4.91	5.07	12.13	0.47	-24.1	9.79	1399.23	839.50	0.42
SPAFEM001.wav	SP	sp01	FEM	CH12	3.83	3.14	9.62	7.63	-17.2	18.30	1374.91	805.70	0.42
SPAFEM001.wav	SP	sp01	FEM	CH13	2.97	1.87	7.65	6.33	-8.8	17.09	1376.78	790.13	0.43
SPAFEM001.wav	SP	sp01	FEM	CH14	3.48	1.35	5.81	3.22	-17.1	18.94	1389.54	788.95	0.44
SPAFEM001.wav	SP	sp01	FEM	CH15	4.75	4.14	10.28	12.66	-7.6	18.44	1405.86	800.41	0.44
SPAFEM001.wav	SP	sp01	FEM	CH16	3.18	1.90	9.04	5.88	-10.1	17.10	1413.04	795.63	0.43
SPAFEM001.wav	SP	sp01	FEM	CH17	8.57	4.01	16.37	10.35	-16.3	17.49	1447.03	831.04	0.42
SPAFEM001.wav	SP	sp01	FEM	CH18	3.38	2.59	8.69	5.36	-10.9	18.79	1466.77	844.92	0.41
SPAFEM001.wav	SP	sp01	FEM	CH19	4.64	3.61	6.23	6.88	-11.2	16.33	1525.62	901.75	0.39
SPAFEM001.wav	SP	sp01	FEM	CH20	3.28	1.61	9.68	8.31	-11.0	15.27	1549.85	921.82	0.39
SPAFEM001.wav	SP	sp01	FEM	CH21	3.38	2.88	9.74	6.61	-10.8	18.97	1597.34	975.49	0.38
SPAFEM001.wav	SP	sp01	FEM	CH22	2.47	1.94	6.62	4.71	-10.4	18.08	1616.19	977.08	0.37
SPAFEM001.wav	SP	sp01	FEM	CH23	3.42	2.55	7.91	7.43	-7.3	16.65	1673.21	1041.14	0.35
SPAFEM002.wav	SP	sp02	FEM	CH1	4.46	2.01	3.64	2.89	-11.6	17.66	1692.27	1048.60	0.36
SPAFEM002.wav	SP	sp02	FEM	CH2	2.95	1.93	7.26	7.20	-9.0	18.96	1711.74	1057.62	0.37
SPAFEM002.wav	SP	sp02	FEM	CH3	2.97	1.26	5.67	6.81	-12.7	17.69	1719.63	1024.88	0.37
SPAFEM002.wav	SP	sp02	FEM	CH4	2.67	1.05	6.95	5.61	-13.8	18.19	1742.29	1013.68	0.38
SPAFEM002.wav	SP	sp02	FEM	CH5	3.61	1.65	17.00	11.16	-22.4	6.38	1047.31	845.88	0.38
SPAFEM002.wav	SP	sp02	FEM	CH6	3.29	1.48	10.19	6.46	-9.0	15.68	731.22	715.45	0.41
SPAFEM002.wav	SP	sp02	FEM	CH7	4.07	0.52	0.85	0.50	-11.5	16.43	752.15	755.33	0.41
SPAFEM002.wav	SP	sp02	FEM	CH8	6.47	7.19	8.10	4.97	-17.7	14.37	755.02	740.71	0.39
SPAFEM002.wav	SP	sp02	FEM	CH9	3.94	2.34	9.17	6.85	-12.5	13.12	749.99	731.15	0.37
SPAFEM002.wav	SP	sp02	FEM	CH10	4.48	4.50	1.04	0.74	-12.1	7.57	768.05	764.58	0.41
SPAFEM002.wav	SP	sp02	FEM	CH11	3.69	1.60	6.51	5.41	-15.0	17.97	785.14	761.30	0.40
SPAFEM002.wav	SP	sp02	FEM	CH12	3.66	2.75	4.81	3.02	-9.5	18.80	784.50	767.50	0.39
SPAFEM002.wav	SP	sp02	FEM	CH13	2.30	2.46	1.07	0.46	-12.4	18.55	743.38	721.67	0.40
SPAFEM002.wav	SP	sp02	FEM	CH14	3.13	2.16	7.08	7.33	-9.1	19.40	766.18	724.12	0.41
SPAFEM002.wav	SP	sp02	FEM	CH15	1.59	1.50	15.32	6.31	-14.1	17.46	770.25	711.33	0.40
SPAFEM002.wav	SP	sp02	FEM	CH16	3.32	2.15	6.07	5.44	-9.1	16.79	797.44	725.00	0.39
SPAFEM002.wav	SP	sp02	FEM	CH17	1.36	0.98	3.20	1.48	-12.8	20.96	544.38	653.64	0.42
SPAFEM002.wav	SP	sp02	FEM	CH18	3.54	2.09	16.75	7.31	-19.4	15.39	565.95	712.22	0.40
SPAFEM002.wav	SP	sp02	FEM	CH19	5.22	4.99	5.63	3.30	-11.1	16.71	604.20	807.14	0.36
SPAFEM002.wav	SP	sp02	FEM	CH20	1.31	0.86	10.89	6.73	-9.5	14.72	591.97	705.00	0.32
SPAFEM002.wav	SP	sp02	FEM	CH21	2.87	1.62	7.67	4.16	-15.0	13.01	638.96	768.00	0.31
SPAFEM002.wav	SP	sp02	FEM	CH22	2.69	1.84	10.09	12.86	-12.3	18.40	712.29	842.50	0.37
SPAFEM002.wav	SP	sp02	FEM	CH23	1.87	1.93	7.82	3.32	-8.3	18.70	890.95	1010.00	0.27
SPAFEM003.wav	SP	sp03	FEM	CH1	3.80	2.34	3.72	0.92	-1.6	18.61	1640.00	1640.00	0.20
SPAFEM003.wav	SP	sp03	FEM	CH2	0.20	0.13	2.50	2.00	-22.9	316.10	0	0	0
SPAFEM003.wav	SP	sp03	FEM	CH3	2.69	2.04	4.73	4.13	-17.9	17.95	1604.59	971.11	0.47
SPAFEM003.wav	SP	sp03	FEM	CH4	2.23	1.55	4.97	4.74	-17.5	17.83	1620.24	958.26	0.46
SPAFEM003.wav	SP	sp03	FEM	CH5	1.67	1.24	5.28	2.86	-22.6	17.42	1592.31	955.00	0.45
SPAFEM003.wav	SP	sp03	FEM	CH6	1.00	0.29	1.42	1.37	-6.8	16.43	1287.94	722.35	0.50
SPAFEM003.wav	SP	sp03	FEM	CH7	1.80	1.04	5.73	4.28	-20.0	18.47	1327.90	740.63	0.56
SPAFEM003.wav	SP	sp03	FEM	CH8	2.24	2.11	6.00	2.92	-17.5	16.48	1009.52	564.62	0.55
SPAFEM003.wav	SP	sp03	FEM	CH9	1.03	0.82	2.03	1.61	-17.4	16.27	1151.62	638.00	0.62
SPAFEM003.wav	SP	sp03	FEM	CH10	2.18	1.20	7.36	3.11	-17.5	16.51	1386.14	767.14	0.52
SPAFEM003.wav	SP	sp03	FEM	CH11	2.12	2.02	2.75	2.22	-20.6	16.66	2127.82	1443.33	0.33
SPAFEM003.wav	SP	sp03	FEM	CH12	2.12	1.75	6.44	4.05	-13.0	18.17	49.50	215.00	0.28
SPAFEM003.wav	SP	sp03	FEM	CH13	4.91	5.07	12.13	0.47	-24.1	9.79	1399.23	839.50	0.42
SPAFEM003.wav	SP	sp03	FEM	CH14	3.83	3.14	9.62	7.63	-17.2	18.30	1374.91	805.70	0.42
SPAFEM003.wav	SP	sp03	FEM	CH15	2.97	1.87	7.65	6.33	-8.8	17.09	1376.78	790.13	0.43
SPAFEM003.wav	SP	sp03	FEM	CH16	3.48	1.35	5.81	3.22	-17.1	18.94	1389.54	788.95	0.44
SPAFEM003.wav	SP	sp03	FEM	CH17	4.75	4.14	10.28	12.66	-7.6	18.44	1405.86	800.41	0.44
SPAFEM003.wav	SP	sp03	FEM	CH18	3.18	1.90	9.04	5.88	-10.1	17.10	1413.04	795.63	0.43
SPAFEM003.wav	SP	sp03	FEM	CH19	8.57	4.01	16.37	10.35	-16.3	17.49	1447.03	831.04	0.42
SPAFEM003.wav	SP	sp03	FEM	CH20	3.38	2.59	8.69	5.36	-10.9	18.79	1466.77	844.92	0.41
SPAFEM003.wav	SP	sp03	FEM	CH21	4.64	3.61	6.23	6.88	-11.2	16.33	1525.62	901.75	0.39
SPAFEM003.wav	SP	sp03	FEM	CH22	3.28	1.61	9.68	8.31	-11.0	15.27	1549.85	921.82	0.39
SPAFEM003.wav	SP	sp03	FEM	CH23	3.38	2.88	9.74	6.61	-10.8	18.97	1597.34	975.49	0.38
SPAFEM004.wav	SP	sp04	FEM	CH1	2.47	1.94	6.62	4.71	-10.4	18.08	1616.19	977.08	0.37
SPAFEM004.wav	SP	sp04	FEM	CH2	3.42	2.55	7.91	7.43	-7.3	16.65	1673.21	1041.14	0.35
SPAFEM004.wav	SP	sp04	FEM	CH3	4.46	2.01	3.64	2.89	-11.6	17.66	1692.27	1048.60	0.36
SPAFEM004.wav	SP	sp04	FEM	CH4	2.95	1.93	7.26	7.20	-9.0	18.96	1711.74	1057.62	0.37
SPAFEM004.wav	SP	sp04	FEM	CH5	2.97	1.26	5.67	6.81	-12.7	17.69	1719.63	1024.88	0.37
SPAFEM004.wav	SP	sp04	FEM	CH6	2.67	1.05	6.95	5.61	-13.8	18.19	1742.29	1013.68	0.38
SPAFEM004.wav	SP	sp04	FEM	CH7	3.61	1.65	17.00	11.16	-22.4	6.38	1047.31	845.88	0.38
SPAFEM004.wav	SP	sp04	FEM	CH8	3.29	1.48	10.19	6.46	-9.0	15.68	731.22	715.45	0.41
SPAFEM004.wav	SP	sp04	FEM	CH9	4.07	0.52	0.85	0.50	-11.5	16.43	752.15	755.33	0.41
SPAFEM004.wav	SP	sp04	FEM	CH10	6.47	7.19	8.10	4.97	-17.7	14.37	755.02	740.71	0.39
SPAFEM004.wav	SP	sp04	FEM	CH11	3.94	2.34	9.17	6.85	-12.5	13.12	749.99	731.15	0.37
SPAFEM004.wav	SP	sp04	FEM	CH12	4.48	4.50	1.04	0.74	-12.1	7.57	768.05	764.58	0.41
SPAFEM004.wav	SP	sp04	FEM	CH13	3.69	1.60	6.51	5.41	-15.0	17.97	785.14	761.30	0.40
SPAFEM004.wav	SP	sp04	FEM	CH14	3.66	2.75	4.81	3.02	-9.5	18.80	784.50	767.50	0.39
SPAFEM004.wav	SP	sp04	FEM	CH15	2.30	2.46	1.07	0.46	-12.4	18.55	743.38	721.67	0.40
SPAFEM004.wav	SP	sp04	FEM	CH16	3.13	2.16	7.08	7.33	-9.1	19.40	766.18	724.12	0.41
SPAFEM004.wav	SP	sp04	FEM	CH17	1.59	1.50	15.32	6.31	-14.1	17.46	770.25	711.33	0.40
SPAFEM004.wav	SP	sp04	FEM	CH18	3.32	2.15	6.07	5.44	-9.1	16.79	797.44	725.00	0.39
SPAFEM004.wav	SP	sp04	FEM	CH19	1.36	0.98	3.20	1.48	-12.8	20.96	544.38	653.64	0.42
SPAFEM004.wav	SP	sp04	FEM	CH20	3.54	2.09	16.75	7.31	-19.4	15.39	565.95	712.22	0.40
SPAFEM004.wav	SP	sp04	FEM	CH21	5.22	4.99	5.63	3.30	-11.1	16.71	604.20	807.14	0.36
SPAFEM004.wav	SP	sp04	FEM	CH22	1.31	0.86	10.89	6.73	-9.5	14.72	591.97	705.00	0.32
SPAFEM004.wav	SP	sp04	FEM	CH23	2.87	1.62	7.67	4.16	-15.0	13.01	638.96	768.00	0.31
SPAFEM005.wav	SP	sp05	FEM	CH1	2.69	1.84	10.09	12.86	-12.3	18.40	712.29	842.50	0.37
SPAFEM005.wav	SP	sp05	FEM	CH2	1.87	1.93	7.82	3.32	-8.3	18.70	890.95	1010.00	0.27
SPAFEM005.wav	SP	sp05	FEM	CH3	3.80	2.34	3.72	0.92	-1.6	18.61	1640.00	1640.00	0.20
SPAFEM005.wav	SP	sp05	FEM	CH4	0.20	0.13	2.50	2.00	-22.9	316.10	0	0	0
SPAFEM005.wav	SP	sp05	FEM	CH5	2.42	1.42	2.50	1.86	-15.2	15.86	813.40	491.93	0.57
SPAFEM005.wav	SP	sp05	FEM	CH6	1.88	1.51	5.43	3.64	-15.1	14.97	816.94	494.62	0.57
SPAFEM005.wav	SP	sp05	FEM	CH7	2.49	1.64	4.07	3.18	-13.1	14.03	822.58	498.28	0.57
SPAFEM005.wav	SP	sp05	FEM	CH8	3.32	1.89	2.31	1.59	-17.0	18.10	829.83	504.79	0.56
SPAFEM005.wav	SP	sp05	FEM	CH9	1.89	1.85	4.06	3.28	-15.7	16.81	805.90	489.73	0.56
SPAFEM005.wav	SP	sp05	FEM	CH10	1.69	1.38	4.41	4.40	-12.6	13.90	809.65	491.51	0.57
SPAFEM005.wav	SP	sp05	FEM	CH11	2.16	2.05	5.65	3.29	-17.1	17.59	811.86	491.41	0.57
SPAFEM005.wav	SP	sp05	FEM	CH12	0.51	0.23	1.85	0.87	-13.1	16.41	814.06	491.91	0.57
SPAFEM005.wav	SP	sp05	FEM	CH13	2.46	1.73	6.62	5.52	-12.5	15.51	755.49	469.12	0.57
SPAFEM005.wav	SP	sp05	FEM	CH14	2.99	2.01	2.35	2.98	-14.3	15.97	764.11	476.89	0.58
SPAFEM005.wav	SP	sp05	FEM	CH15	2.71	2.02	5.41	5.15	-14.5	14.02	769.70	478.68	0.58
SPAFEM005.wav	SP	sp05	FEM	CH16	2.13	0.66	4.11	2.71	-16.5	15.89	779.37	486.63	0.58
SPAFEM005.wav	SP	sp05	FEM	CH17	2.75	2.25	6.30	5.17	-14.5	13.98	783.50	488.26	0.57
SPAFEM005.wav	SP	sp05	FEM	CH18	3.16	1.12	3.07	1.78	-14.2	20.22	789.26	493.29	0.57
SPAFEM005.wav	SP	sp05	FEM	CH19	4.40	3.66	6.24	5.26	-16.5	18.22	757.59	475.40	0.58
SPAFEM005.wav	SP	sp05	FEM	CH20	2.72	1.43	5.45	4.07	-13.8	15.25	759.90	474.75	0.58
SPAFEM005.wav	SP	sp05	FEM	CH21	2.31	1.39	3.85	3.08	-11.8	15.26	764.29	475.19	0.59
SPAFEM005.wav	SP	sp05	FEM	CH22	2.33	2.12	3.46	3.72	-16.8	13.26	771.91	483.46	0.58
SPAFEM005.wav	SP	sp05	FEM	CH23	2.54	1.68	5.83	6.69	-16.9	11.29	776.31	486.17	0.58
SPAMAS001.wav	SP	sp06	MAS	CH1	3.28	2.09	3.18	2.59	-14.9	15.50	782.69	492.12	0.58
SPAMAS001.wav	SP	sp06	MAS	CH2	3.10	3.06	3.49	0	-14.9	17.90	785.31	491.93	0.59
SPAMAS001.wav	SP	sp06	MAS	CH3	1.98	1.38	2.22	1.32	-13.3	12.71	787.90	492.75	0.59
SPAMAS001.wav	SP	sp06	MAS	CH4	0.24	0.24	2.17	0	-20.7	4.93	794.53	497.53	0.58
SPAMAS001.wav	SP	sp06	MAS	CH5	0.59	0.26	1.24	0	-12.8	18.68	797.23	498.28	0.58
SPAMAS001.wav	SP	sp06	MAS	CH6	2.05	1.20	4.23	4.27	-16.2	14.10	799.99	498.75	0.58
SPAMAS001.wav	SP	sp06	MAS	CH7	2.52	1.86	5.22	3.09	-14.3	19.59	802.73	499.65	0.58
SPAMAS001.wav	SP	sp06	MAS	CH8	3.76	2.55	4.79	1.75	-19.7	17.21	805.38	498.17	0.58
SPAMAS001.wav	SP	sp06	MAS	CH9	2.81	2.03	6.89	7.87	-14.6	14.99	808.22	498.72	0.58
SPAMAS001.wav	SP	sp06	MAS	CH10	3.01	1.94	4.68	5.09	-10.8	13.88	811.11	499.14	0.59
SPAMAS001.wav	SP	sp06	MAS	CH11	2.65	1.52	3.86	3.50	-13.6	16.33	816.80	501.16	0.60
SPAMAS001.wav	SP	sp06	MAS	CH12	1.82	0.93	5.31	5.21	-12.8	19.29	830.17	511.13	0.59
SPAMAS001.wav	SP	sp06	MAS	CH13	2.08	0.51	3.31	2.55	-12.5	20.11	792.20	493.92	0.59
SPAMAS001.wav	SP	sp06	MAS	CH14	11.12	11.49	21.78	19.91	-22.5	12.80	796.78	493.28	0.59
SPAMAS001.wav	SP	sp06	MAS	CH15	3.00	2.15	3.80	3.68	-14.5	17.10	795.54	485.91	0.59
SPAMAS001.wav	SP	sp06	MAS	CH16	8.49	7.34	49.11	10.54	-28.9	6.97	804.09	491.45	0.59
SPAMAS001.wav	SP	sp06	MAS	CH17	9.47	9.39	18.58	20.81	-22.0	10.78	807.38	491.46	0.59
SPAMAS001.wav	SP	sp06	MAS	CH18	3.09	2.31	6.15	4.50	-14.8	13.32	807.51	485.00	0.59
SPAMAS001.wav	SP	sp06	MAS	CH19	2.83	2.56	3.68	2.93	-14.0	14.81	813.66	488.33	0.60
SPAMAS001.wav	SP	sp06	MAS	CH20	3.22	2.03	8.18	4.63	-13.3	18.51	817.07	487.73	0.61
SPAMAS001.wav	SP	sp06	MAS	CH21	3.45	1.55	5.33	4.27	-14.4	14.75	736.99	460.00	0.60
SPAMAS001.wav	SP	sp06	MAS	CH22	4.28	3.39	5.30	3.10	-16.8	14.43	744.97	465.45	0.61
SPAMAS001.wav	SP	sp06	MAS	CH23	2.89	0.63	3.14	1.35	-14.0	17.83	756.73	473.43	0.60
SPAMAS002.wav	SP	sp07	MAS	CH1	3.42	2.77	5.16	3.25	-14.3	16.95	761.82	472.45	0.60
SPAMAS002.wav	SP	sp07	MAS	CH2	2.70	2.35	3.86	2.68	-12.8	16.71	777.92	482.77	0.60
SPAMAS002.wav	SP	sp07	MAS	CH3	0.64	0.41	1.21	0.76	-13.0	18.86	798.88	498.95	0.58
SPAMAS002.wav	SP	sp07	MAS	CH4	2.15	1.81	8.35	4.35	-14.6	16.70	803.12	499.79	0.58
SPAMAS002.wav	SP	sp07	MAS	CH5	0.11	0.10	0.54	0.19	-22.0	5.18	771.94	475.48	0.58
SPAMAS002.wav	SP	sp07	MAS	CH6	2.89	2.44	5.02	2.95	-12.0	15.11	775.11	471.30	0.58
SPAMAS002.wav	SP	sp07	MAS	CH7	2.40	1.58	2.75	2.11	-13.9	17.81	798.47	489.30	0.58
SPAMAS002.wav	SP	sp07	MAS	CH8	0.51	0.30	7.35	3.70	-24.3	6.68	817.64	494.81	0.57
SPAMAS002.wav	SP	sp07	MAS	CH9	3.24	2.06	8.74	8.15	-11.7	13.38	802.22	474.62	0.57
SPAMAS002.wav	SP	sp07	MAS	CH10	2.62	1.91	5.09	4.67	-19.3	15.12	811.03	481.28	0.58
SPAMAS002.wav	SP	sp07	MAS	CH11	4.60	4.40	2.97	2.02	-16.0	16.95	820.31	486.32	0.58
SPAMAS002.wav	SP	sp07	MAS	CH12	3.55	1.16	6.34	5.36	-15.6	16.40	829.95	491.89	0.58
SPAMAS002.wav	SP	sp07	MAS	CH13	2.63	2.03	5.99	6.36	-13.1	14.90	844.47	501.13	0.57
SPAMAS002.wav	SP	sp07	MAS	CH14	2.90	2.38	5.42	3.36	-17.3	15.21	867.18	512.24	0.59
SPAMAS002.wav	SP	sp07	MAS	CH15	2.52	1.60	3.70	2.31	-10.6	17.80	878.93	519.23	0.59
SPAMAS002.wav	SP	sp07	MAS	CH16	2.71	1.17	4.92	3.82	-14.6	19.84	885.86	518.44	0.59
SPAMAS002.wav	SP	sp07	MAS	CH17	2.01	1.63	5.93	3.71	-13.0	15.75	794.04	474.67	0.61
SPAMAS002.wav	SP	sp07	MAS	CH18	9.16	9.47	12.18	13.24	-24.3	12.66	800.76	476.27	0.64
SPAMAS002.wav	SP	sp07	MAS	CH19	2.30	1.52	3.67	2.90	-12.8	17.43	798.68	460.69	0.63
SPAMAS002.wav	SP	sp07	MAS	CH20	1.17	0.97	0.95	0.75	-16.2	14.39	822.70	456.60	0.66
SPAMAS002.wav	SP	sp07	MAS	CH21	11.35	11.70	10.10	2.42	-22.8	10.98	830.60	454.62	0.66
SPAMAS002.wav	SP	sp07	MAS	CH22	2.91	2.31	5.20	4.77	-11.7	13.50	773.97	410.20	0.66
SPAMAS002.wav	SP	sp07	MAS	CH23	2.16	1.96	3.60	3.07	-14.9	15.38	789.00	416.12	0.69
SPAMAS003.wav	SP	sp08	MAS	CH1	3.33	1.11	3.15	2.41	-17.3	16.87	804.07	422.34	0.68
SPAMAS003.wav	SP	sp08	MAS	CH2	1.88	1.90	3.20	3.51	-12.6	16.50	820.00	424.00	0.69
SPAMAS003.wav	SP	sp08	MAS	CH3	0.73	0.54	1.44	0.63	-15.8	19.52	845.48	440.71	0.67
SPAMAS003.wav	SP	sp08	MAS	CH4	2.29	1.97	3.42	2.67	-12.2	16.39	854.64	433.41	0.67
SPAMAS003.wav	SP	sp08	MAS	CH5	2.98	2.59	3.60	1.61	-10.0	15.36	895.61	451.62	0.65
SPAMAS003.wav	SP	sp08	MAS	CH6	2.58	1.47	4.37	4.72	-14.3	15.37	944.02	475.45	0.62
SPAMAS003.wav	SP	sp08	MAS	CH7	1.21	0.88	2.24	1.00	-14.1	18.66	990.50	487.00	0.66
SPAMAS003.wav	SP	sp08	MAS	CH8	2.06	0.73	6.84	2.35	-12.2	18.93	1024.96	495.36	0.65
SPAMAS003.wav	SP	sp08	MAS	CH9	1.81	1.63	0.47	0.42	-18.0	20.08	1040.53	478.52	0.65
SPAMAS003.wav	SP	sp08	MAS	CH10	2.28	1.18	3.64	2.06	-21.8	19.71	1060.98	481.92	0.65
SPAMAS003.wav	SP	sp08	MAS	CH11	1.56	1.31	2.77	0	-15.3	20.27	1081.82	472.80	0.63
SPAMAS003.wav	SP	sp08	MAS	CH12	2.05	2.15	7.05	3.21	-20.6	19.06	1105.09	472.50	0.63
SPAMAS003.wav	SP	sp08	MAS	CH13	0.77	0.39	4.49	3.01	-33.7	19.48	1124.51	450.43	0.62
SPAMAS003.wav	SP	sp08	MAS	CH14	2.10	1.19	2.66	2.74	-13.6	19.42	1206.77	466.00	0.58
SPAMAS003.wav	SP	sp08	MAS	CH15	1.82	1.19	2.70	1.94	-14.1	14.21	145.82	207.86	0.56
SPAMAS003.wav	SP	sp08	MAS	CH16	1.53	1.43	9.61	5.27	-12.9	18.70	146.17	235.00	0.55
SPAMAS003.wav	SP	sp08	MAS	CH17	2.51	1.44	6.65	4.51	-14.3	17.78	126.62	183.33	0.54
SPAMAS003.wav	SP	sp08	MAS	CH18	2.42	1.42	2.50	1.86	-15.2	15.86	813.40	491.93	0.57
SPAMAS003.wav	SP	sp08	MAS	CH19	1.88	1.51	5.43	3.64	-15.1	14.97	816.94	494.62	0.57
SPAMAS003.wav	SP	sp08	MAS	CH20	2.49	1.64	4.07	3.18	-13.1	14.03	822.58	498.28	0.57
SPAMAS003.wav	SP	sp08	MAS	CH21	3.32	1.89	2.31	1.59	-17.0	18.10	829.83	504.79	0.56
SPAMAS003.wav	SP	sp08	MAS	CH22	1.89	1.85	4.06	3.28	-15.7	16.81	805.90	489.73	0.56
SPAMAS003.wav	SP	sp08	MAS	CH23	1.69	1.38	4.41	4.40	-12.6	13.90	809.65	491.51	0.57
SPAMAS004.wav	SP	sp09	MAS	CH1	2.16	2.05	5.65	3.29	-17.1	17.59	811.86	491.41	0.57
SPAMAS004.wav	SP	sp09	MAS	CH2	0.51	0.23	1.85	0.87	-13.1	16.41	814.06	491.91	0.57
SPAMAS004.wav	SP	sp09	MAS	CH3	2.46	1.73	6.62	5.52	-12.5	15.51	755.49	469.12	0.57
SPAMAS004.wav	SP	sp09	MAS	CH4	2.99	2.01	2.35	2.98	-14.3	15.97	764.11	476.89	0.58
SPAMAS004.wav	SP	sp09	MAS	CH5	2.71	2.02	5.41	5.15	-14.5	14.02	769.70	478.68	0.58
SPAMAS004.wav	SP	sp09	MAS	CH6	2.13	0.66	4.11	2.71	-16.5	15.89	779.37	486.63	0.58
SPAMAS004.wav	SP	sp09	MAS	CH7	2.75	2.25	6.30	5.17	-14.5	13.98	783.50	488.26	0.57
SPAMAS004.wav	SP	sp09	MAS	CH8	3.16	1.12	3.07	1.78	-14.2	20.22	789.26	493.29	0.57
SPAMAS004.wav	SP	sp09	MAS	CH9	4.40	3.66	6.24	5.26	-16.5	18.22	757.59	475.40	0.58
SPAMAS004.wav	SP	sp09	MAS	CH10	2.72	1.43	5.45	4.07	-13.8	15.25	759.90	474.75	0.58
SPAMAS004.wav	SP	sp09	MAS	CH11	2.31	1.39	3.85	3.08	-11.8	15.26	764.29	475.19	0.59
SPAMAS004.wav	SP	sp09	MAS	CH12	2.33	2.12	3.46	3.72	-16.8	13.26	771.91	483.46	0.58
SPAMAS004.wav	SP	sp09	MAS	CH13	2.54	1.68	5.83	6.69	-16.9	11.29	776.31	486.17	0.58
SPAMAS004.wav	SP	sp09	MAS	CH14	3.28	2.09	3.18	2.59	-14.9	15.50	782.69	492.12	0.58
SPAMAS004.wav	SP	sp09	MAS	CH15	3.10	3.06	3.49	0	-14.9	17.90	785.31	491.93	0.59
SPAMAS004.wav	SP	sp09	MAS	CH16	1.98	1.38	2.22	1.32	-13.3	12.71	787.90	492.75	0.59
SPAMAS004.wav	SP	sp09	MAS	CH17	0.24	0.24	2.17	0	-20.7	4.93	794.53	497.53	0.58
SPAMAS004.wav	SP	sp09	MAS	CH18	0.59	0.26	1.24	0	-12.8	18.68	797.23	498.28	0.58
SPAMAS004.wav	SP	sp09	MAS	CH19	2.05	1.20	4.23	4.27	-16.2	14.10	799.99	498.75	0.58
SPAMAS004.wav	SP	sp09	MAS	CH20	2.52	1.86	5.22	3.09	-14.3	19.59	802.73	499.65	0.58
